Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount,Fee Cur.,Exchange,Trade Group,Comment,Date
Deposit,.001509,ALGO,,,,,WLWW...3UFI,Tinyman: Pooled Slippage,d4XqZASqL4YcHVoW3yPSEG8a0MbCT1fmK0856SEaFEw=,2022-06-12 09:15:34
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-d4XqZASqL4YcHVoW3yPSEG8a0MbCT1fmK0856SEaFEw=,2022-06-12 09:15:34
Spend,,,.001000,ALGO,,,WLWW...3UFI,Network Operation Fees,GNTLJPYXCMEQYWT33TQFEM77Z6NSVOJFQE4FEKJRHOSFG6RDG6OQ,2022-06-12 09:16:39
Withdrawal,,,10.000000,ALGF,,,WLWW...3UFI,AlgoFund: Deposit,B1rWxyoLSIJVGMUEbO1ovEgbVCFGlY+uBudjjT4LxZY=,2022-06-12 09:17:31
Deposit,10.000000,ALGF,,,,,AlgoFund,AlgoFund: Deposit,B1rWxyoLSIJVGMUEbO1ovEgbVCFGlY+uBudjjT4LxZY=,2022-06-12 09:17:31
Spend,,,0.002,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-B1rWxyoLSIJVGMUEbO1ovEgbVCFGlY+uBudjjT4LxZY=,2022-06-12 09:17:31
Withdrawal,,,.010000,ALGF,,,AlgoFund,AlgoFund: Withdrawal,I- G-vpZnh6XZdsC8...   T-UUW3TBRZFZFX...,2022-06-12 09:20:03
Deposit,.010000,ALGF,,,,,WLWW...3UFI,AlgoFund: Withdrawal,I- G-vpZnh6XZdsC8...   T-UUW3TBRZFZFX...,2022-06-12 09:20:03
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-vpZnh6XZdsC8hGsoPQGV332e/JhvW1ep+Phosd1PpEk=,2022-06-12 09:20:03
Staking,.001714,ALGF,,,,,WLWW...3UFI,AlgoFund: Rewards,I- G-qoYyISCFfL2R...   T-HLQLREZZ6KHG...,2022-06-12 19:30:27
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-qoYyISCFfL2RpQ4KLdQhYUb5YJknPfOjRnKTExWVCSg=,2022-06-12 19:30:27
Spend,,,0.004,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-hAxftNPWIaBt0vD4XItaeKdEUGj3AVY3UnexSZjpitA=,2022-06-12 19:38:41
Withdrawal,,,3.199000,ALGO,,,WLWW...3UFI,"['AlgoFi', 'Manager App']",ixh7xXKiP7crcybGivM+tTsiEVrLFNT/UTmM1tMd3fE=,2022-06-12 19:39:29
Spend,,,0.002,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-ixh7xXKiP7crcybGivM+tTsiEVrLFNT/UTmM1tMd3fE=,2022-06-12 19:39:29
Withdrawal,,,5.000000,ALGO,,,WLWW...3UFI,AlgoFi: Mint to Collateral,kQWrt813P0KB8nG67DUcsbYBvHZCNW2XRi4PvtQbjjA=,2022-06-12 19:40:25
Deposit,5.000000,ALGO,,,,,AlgoFi - Collateral,AlgoFi: Mint to Collateral,kQWrt813P0KB8nG67DUcsbYBvHZCNW2XRi4PvtQbjjA=,2022-06-12 19:40:25
Spend,,,0.016000000000000007,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-kQWrt813P0KB8nG67DUcsbYBvHZCNW2XRi4PvtQbjjA=,2022-06-12 19:40:25
Withdrawal,,,.100000,STBL,,,AlgoFi - Lending,AlgoFi: Borrow,I- G-m6qOMW5lvos/...   T-6HUIMI7WNGKJ...,2022-06-12 19:41:25
Deposit,.100000,STBL,,,,,WLWW...3UFI,AlgoFi: Borrow,I- G-m6qOMW5lvos/...   T-6HUIMI7WNGKJ...,2022-06-12 19:41:25
Spend,,,0.015000000000000006,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-m6qOMW5lvos/2fBnQvP7bsfrFmmCDTJKmNqofNo9e08=,2022-06-12 19:41:25
Staking,2.02816856,AFD,,,,,WLWW...3UFI,The Algo Faucet,6T47DOAFF37UYLNKJLU6WEAE6RX2JBDCTH6MJDK3QM4PLCGHMWLQ,2022-06-13 09:05:39
Deposit,5.000000,ALGO,,,,,WLWW...3UFI,,ZG2SLY7KHOFPBTNOXNMQBR62XBFH4QIGEQLPKB4ME7FKJDC6YVLQ,2022-06-14 03:17:42
Staking,2.03222489,AFD,,,,,WLWW...3UFI,The Algo Faucet,5K432FYRGKI34ECJUIAWFLHV4G5YMYTDYUN3T5LL5QCUQ5F6D5UQ,2022-06-14 09:05:41
Spend,,,.001000,ALGO,,,WLWW...3UFI,Network Operation Fees,SXRTABQ3IXSB74EJ3V7UPBEBBYX34EXWIGJ7BJEFQL57R7C5K2YQ,2022-06-14 18:13:04
Deposit,.995646,fALGO,,,,,WLWW...3UFI,Folks Finance: Deposit,I- G-j1TqM6P5BojZ...   T-KIFWLM43IT7Q...,2022-06-14 18:13:17
Withdrawal,,,1.000000,ALGO,,,WLWW...3UFI,Folks Finance: Deposit,j1TqM6P5BojZqMGnokenyu7Jlk49rROzMEO3buo6ZqY=,2022-06-14 18:13:17
Deposit,0.995646,ALGO,,,,,Folks Finance,Folks Finance: Deposit,j1TqM6P5BojZqMGnokenyu7Jlk49rROzMEO3buo6ZqY=,2022-06-14 18:13:17
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-j1TqM6P5BojZqMGnokenyu7Jlk49rROzMEO3buo6ZqY=,2022-06-14 18:13:17
Spend,,,.001000,ALGO,,,WLWW...3UFI,Network Operation Fees,XAX7MAWLMSNA6KKYOT6MZGLLYYQ75PM23Q5SNEODNT3BOFINIEYQ,2022-06-14 18:14:14
Spend,,,.435500,ALGO,,,WLWW...3UFI,"['Folks Finance', 'ALGO-USDt Market', 'Open Account']",7utZTCBKLFAxgZNAe8vweqiW9FSqteq9dD1Z/1laUzg=,2022-06-14 18:14:27
Spend,,,0.004,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-7utZTCBKLFAxgZNAe8vweqiW9FSqteq9dD1Z/1laUzg=,2022-06-14 18:14:27
Withdrawal,,,.100000,USDt,,,Folks Finance,Folks Finance: Borrow,I- G-hKNB9wzdmluB...   T-4HMJADAUQOCA...,2022-06-14 18:14:40
Deposit,.100000,USDt,,,,,WLWW...3UFI,Folks Finance: Borrow,I- G-hKNB9wzdmluB...   T-4HMJADAUQOCA...,2022-06-14 18:14:40
Withdrawal,,,.483465,fALGO,,,WLWW...3UFI,Folks Finance: Borrow,hKNB9wzdmluBxSYsTBzZFlG70d0E7zmkAASuPVqR8Lw=,2022-06-14 18:14:40
Deposit,.483465,fALGO,,,,,Folks Finance,Folks Finance: Borrow,hKNB9wzdmluBxSYsTBzZFlG70d0E7zmkAASuPVqR8Lw=,2022-06-14 18:14:40
Spend,,,0.006,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-hKNB9wzdmluBxSYsTBzZFlG70d0E7zmkAASuPVqR8Lw=,2022-06-14 18:14:40
